จำนวนหนี้สินเฉลี่ยต่อครัวเรือน จำแนกตามภาคและจังหวัด พ.ศ. 2541 - 2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Debt Per Household by Region and Province: 1998 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,บาท   Baht  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาค และจังหวัด,,2541,2543,2545,2547,2549,2550,2552,2554,2556,2558,Region and province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พะเยา ,,"50,234  ","39,296  ","65,646  ","54,986  ","101,306  ","116,854  ","102,774  ","104,638  ","80,663  ","148,001  ",            Phayao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        เชียงราย ,,"30,723  ","28,252  ","51,400  ","95,424  ","114,376  ","101,202  ","94,392  ","111,092  ","44,956  ","73,166  ",            Chiang Rai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        แม่ฮ่องสอน ,,"27,787  ","31,601  ","29,390  ","58,187  ","33,352  ","63,553  ","32,562  ","41,957  ","38,341  ","123,172  ",            Mae Hong Son ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นครสวรรค์ ,,"55,810  ","66,422  ","45,543  ","82,101  ","139,995  ","145,170  ","144,951  ","174,706  ","232,771  ","188,941  ",            Nakhon Sawan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        อุทัยธานี ,,"90,190  ","47,623  ","33,576  ","84,975  ","106,149  ","121,374  ","139,482  ","140,001  ","219,238  ","194,462  ",            Uthai Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        กำแพงเพชร ,,"56,320  ","85,656  ","64,714  ","94,755  ","130,939  ","117,473  ","98,772  ","105,745  ","178,672  ","204,669  ",            Kamphaeng Phet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ตาก ,,"71,489  ","55,696  ","34,293  ","77,658  ","80,859  ","62,642  ","77,591  ","60,390  ","120,246  ","145,791  ",            Tak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สุโขทัย ,,"48,710  ","43,584  ","50,398  ","73,740  ","108,027  ","85,399  ","102,003  ","122,772  ","176,298  ","218,302  ",            Sukhothai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พิษณุโลก ,,"58,307  ","65,358  ","71,504  ","152,893  ","115,282  ","110,830  ","128,177  ","157,766  ","224,876  ","263,135  ",            Phitsanulok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พิจิตร ,,"64,814  ","63,167  ","97,142  ","119,656  ","104,379  ","143,162  ","138,861  ","161,005  ","208,219  ","148,751  ",            Phichit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        เพชรบูรณ์ ,,"42,694  ","84,428  ","48,507  ","93,276  ","116,290  ","123,574  ","156,388  ","91,930  ","103,320  ","148,667  ",            Phetchabun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคตะวันออกเฉียงเหนือ ,,"56,011  ","52,494  ","66,034  ","83,278  ","101,882  ","105,006  ","118,308  ","137,663  ","149,307  ","160,675  ", Northeastern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นครราชสีมา ,,"46,118  ","50,384  ","51,017  ","87,239  ","93,790  ","108,337  ","134,654  ","116,108  ","170,703  ","245,760  ",            Nakhon Ratchasima ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        บุรีรัมย์ ,,"49,821  ","72,402  ","60,660  ","87,585  ","100,336  ","83,032  ","117,943  ","161,895  ","117,814  ","159,766  ",            Buri Ram ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สุรินทร์ ,,"58,038  ","54,741  ","50,249  ","87,598  ","143,741  ","111,983  ","118,378  ","196,381  ","187,498  ","246,348  ",            Surin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ศรีสะเกษ ,,"64,704  ","67,821  ","60,652  ","71,816  ","95,247  ","99,032  ","88,343  ","112,526  ","191,057  ","135,277  ",            Si Sa Ket ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        อุบลราชธานี ,,"34,259  ","65,131  ","70,783  ","80,471  ","95,706  ","105,811  ","116,045  ","173,065  ","166,222  ","136,208  ",            Ubon Ratchathani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ยโสธร ,,"42,711  ","17,745  ","38,359  ","79,656  ","78,766  ","60,451  ","85,676  ","165,082  ","63,643  ","123,720  ",            Yasothon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ชัยภูมิ ,,"21,525  ","42,285  ","38,379  ","78,325  ","96,854  ","91,550  ","103,092  ","105,134  ","164,135  ","155,902  ",            Chaiyaphum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        อำนาจเจริญ ,,"47,568  ","53,567  ","49,225  ","112,722  ","96,400  ","109,063  ","159,633  ","145,074  ","134,560  ","173,276  ",            Amnat Charoen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        บึงกาฬ ,,,,,,,,,,"69,432  ","257,989  ",            Bungkan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        หนองบัวลำภู ,,"54,010  ","46,584  ","64,569  ","100,550  ","108,075  ","117,417  ","118,246  ","121,289  ","96,118  ","140,079  ",            Nong Bua Lam Phu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ขอนแก่น ,,"111,650  ","64,250  ","96,173  ","98,315  ","80,653  ","119,399  ","113,084  ","77,193  ","79,850  ","62,493  ",            Khon Kaen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        อุดรธานี ,,"44,688  ","34,073  ","83,893  ","73,521  ","97,136  ","104,050  ","118,490  ","165,688  ","167,665  ","197,757  ",            Udon Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        เลย ,,"89,911  ","62,499  ","48,796  ","79,127  ","118,555  ","108,560  ","96,423  ","123,951  ","103,670  ","169,523  ",            Loei ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        หนองคาย ,,"98,526  ","37,583  ","64,978  ","90,295  ","109,812  ","93,981  ","62,462  ","64,424  ","80,636  ","107,736  ",            Nong Khai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        มหาสารคาม ,,"43,117  ","55,254  ","67,866  ","85,820  ","109,654  ","90,740  ","177,380  ","167,718  ","194,195  ","128,258  ",            Maha Sarakham ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ร้อยเอ็ด ,,"22,695  ","43,830  ","62,342  ","76,460  ","109,546  ","117,702  ","138,771  ","187,017  ","244,163  ","149,907  ",            Roi Et ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        กาฬสินธุ์ ,,"48,055  ","41,435  ","73,432  ","65,456  ","109,921  ","144,115  ","97,711  ","154,871  ","124,725  ","131,577  ",            Kalasin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สกลนคร ,,"62,005  ","44,517  ","81,140  ","75,869  ","96,367  ","113,124  ","161,441  ","138,725  ","157,855  ","164,190  ",            Sakon Nakhon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นครพนม ,,"74,123  ","31,534  ","121,363  ","85,837  ","85,741  ","70,049  ","92,430  ","76,338  ","90,411  ","102,816  ",            Nakhon Phanom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        มุกดาหาร ,,"85,211  ","118,170  ","66,520  ","89,132  ","132,063  ","115,677  ","129,737  ","182,411  ","123,125  ","184,067  ",            Mukdahan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคใต้ ,,"53,685  ","54,136  ","76,124  ","92,126  ","114,179  ","118,525  ","127,220  ","110,723  ","139,931  ","163,892  ", Southern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นครศรีธรรมราช ,,"58,872  ","54,589  ","84,791  ","104,706  ","107,541  ","104,004  ","167,985  ","89,625  ","123,678  ","164,476  ",            Nakhon Si Thammarat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        กระบี่ ,,"77,602  ","83,721  ","105,405  ","201,625  ","156,798  ","182,167  ","219,674  ","177,495  ","168,946  ","373,325  ",            Krabi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พังงา ,,"46,027  ","28,375  ","22,316  ","47,684  ","87,955  ","106,854  ","56,697  ","82,728  ","123,376  ","164,167  ",            Phangnga ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
